,FIPS,County,Province_State
195,06001,alameda,California
196,06003,alpine,California
197,06005,amador,California
198,06007,butte,California
199,06009,calaveras,California
200,06011,colusa,California
201,06013,contra costa,California
202,06015,del norte,California
203,06017,el dorado,California
204,06019,fresno,California
205,06021,glenn,California
206,06023,humboldt,California
207,06025,imperial,California
208,06027,inyo,California
209,06029,kern,California
210,06031,kings,California
211,06033,lake,California
212,06035,lassen,California
213,06037,los angeles,California
214,06039,madera,California
215,06041,marin,California
216,06043,mariposa,California
217,06045,mendocino,California
218,06047,merced,California
219,06049,modoc,California
220,06051,mono,California
221,06053,monterey,California
222,06055,napa,California
223,06057,nevada,California
224,06059,orange,California
226,06061,placer,California
227,06063,plumas,California
228,06065,riverside,California
229,06067,sacramento,California
230,06069,san benito,California
231,06071,san bernardino,California
232,06073,san diego,California
233,06075,san francisco,California
234,06077,san joaquin,California
235,06079,san luis obispo,California
236,06081,san mateo,California
237,06083,santa barbara,California
238,06085,santa clara,California
239,06087,santa cruz,California
240,06089,shasta,California
241,06091,sierra,California
242,06093,siskiyou,California
243,06095,solano,California
244,06097,sonoma,California
245,06099,stanislaus,California
246,06101,sutter,California
247,06103,tehama,California
248,06105,trinity,California
249,06107,tulare,California
250,06109,tuolumne,California
252,06111,ventura,California
253,06113,yolo,California
254,06115,yuba,California
